name,model_type,win,horizon,tr_pf,tr_sharpe,tr_sortino,tr_pval_pf,tr_nperm,te_pf,te_sharpe,te_sortino
LSTM_win256_h5_h128_L2,lstm,256,5,1.150574987480258,0.8003183995567897,1.110377863546539,0.2874251497005988,500,1.353613387932738,1.8697325972560976,2.750094468029365
TCN_win256_h5_d12345,tcn,256,5,4.202996962730867,4.125562884693553,18.047228868463122,0.001996007984031936,500,1.2768084574225402,1.1705028062247322,1.8122941454659307
TCN_win256_h21_d12345,tcn,256,21,19.652941179905085,6.9580195529509,86.58545599493611,0.001996007984031936,500,1.1464200774994635,0.7294828452806327,1.1229003004276326
LSTM_win96_h1_h64_L1,lstm,96,1,0.9199852666272448,-0.2905819682622739,-0.3746149958891368,0.4251497005988024,500,1.0445086622404711,0.18417383226919729,0.26728560462554374
TCN_win128_h5_d123,tcn,128,5,3.855988951823214,3.7072293268484957,15.795355487234636,0.001996007984031936,500,1.0121658381307,0.057793534242300146,0.08003265355244986
LSTM_win128_h5_h64_L1,lstm,128,5,1.9964628286737867,1.7473590869086788,6.022409094040904,0.001996007984031936,500,0.6889533221140243,-1.7170566691462477,-2.1279533246267026
