"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2024","591.95","587.89","592.60","580.50","201.72M","-0.51%"
"12/22/2024","595.01","590.89","602.48","587.66","197.10M","0.65%"
"12/15/2024","591.15","606.00","607.78","580.91","419.35M","-2.16%"
"12/08/2024","604.21","607.69","608.43","602.13","168.10M","-0.59%"
"12/01/2024","607.81","602.97","609.07","602.34","161.44M","0.87%"
"11/24/2024","602.55","599.52","603.35","595.20","152.24M","1.18%"
"11/17/2024","595.51","586.22","596.15","584.03","221.50M","1.67%"
"11/10/2024","585.75","599.81","600.17","583.86","242.87M","-2.08%"
"11/03/2024","598.19","571.18","599.64","567.89","239.56M","4.75%"
"10/27/2024","571.04","582.58","583.32","568.44","220.36M","-1.38%"
"10/20/2024","579.04","583.85","584.85","574.41","202.18M","-0.95%"
"10/13/2024","584.59","581.22","586.12","578.54","192.96M","0.86%"
"10/06/2024","579.58","571.30","580.33","566.63","211.68M","1.15%"
"09/29/2024","572.98","570.42","574.38","565.27","258.27M","0.26%"
"09/22/2024","571.47","569.34","574.71","567.60","219.79M","0.57%"
"09/15/2024","568.25","561.74","572.88","559.90","297.84M","1.11%"
"09/08/2024","562.01","544.65","563.03","539.96","243.29M","4.01%"
"09/01/2024","540.36","560.47","560.81","539.44","220.58M","-4.14%"
"08/25/2024","563.68","563.18","564.20","555.04","210.96M","0.28%"
"08/18/2024","562.13","554.73","563.18","553.86","221.13M","1.41%"
"08/11/2024","554.31","534.21","555.02","530.95","242.60M","4.00%"
"08/04/2024","532.99","511.64","534.51","510.27","410.69M","0.02%"
"07/28/2024","532.90","546.02","554.87","528.60","311.25M","-2.12%"
"07/21/2024","544.44","553.00","556.73","537.45","267.22M","-0.83%"
"07/14/2024","548.99","562.03","565.16","547.91","255.96M","-1.96%"
"07/07/2024","559.99","555.44","563.67","554.19","208.26M","0.96%"
"06/30/2024","554.64","545.63","555.05","542.52","155.01M","1.91%"
"06/23/2024","544.22","544.33","550.28","542.44","233.54M","-0.05%"
"06/16/2024","544.51","542.08","550.12","541.61","232.06M","0.32%"
"06/09/2024","542.78","533.18","544.12","532.05","220.22M","1.64%"
"06/02/2024","534.01","529.02","536.89","522.60","203.11M","1.26%"
"05/26/2024","527.37","530.27","530.51","518.36","218.71M","-0.39%"
"05/19/2024","529.44","529.57","533.07","524.72","218.09M","0.00%"
"05/12/2024","529.45","522.56","531.52","519.74","263.19M","1.65%"
"05/05/2024","520.84","513.75","522.64","513.30","237.75M","1.87%"
"04/28/2024","511.29","510.09","512.55","499.55","339.45M","0.60%"
"04/21/2024","508.26","497.83","509.88","495.43","321.95M","2.65%"
"04/14/2024","495.16","515.13","515.30","493.86","418.26M","-3.07%"
"04/07/2024","510.85","519.15","520.75","509.08","361.84M","-1.46%"
"03/31/2024","518.43","523.83","524.38","512.76","367.27M","-0.89%"
"03/24/2024","523.07","519.80","524.61","518.40","293.27M","0.36%"
"03/17/2024","521.21","514.00","524.11","511.12","358.57M","2.23%"
"03/10/2024","509.83","510.48","517.38","508.12","408.59M","-0.37%"
"03/03/2024","511.72","512.03","518.22","504.91","336.22M","-0.22%"
"02/25/2024","512.85","508.30","513.29","504.75","316.52M","0.98%"
"02/18/2024","507.85","497.72","510.13","493.56","269.06M","1.67%"
