f"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2025","601.82","589.39","610.78","575.35","995.61M","2.69%"
"12/01/2024","586.08","602.97","609.07","580.91","1.06B","-2.73%"
"11/01/2024","602.55","571.32","603.35","567.89","901.84M","5.96%"
"10/01/2024","568.64","573.40","586.12","565.27","976.13M","-0.89%"
"09/01/2024","573.76","560.47","574.71","539.44","1.05B","1.79%"
"08/01/2024","563.68","552.57","564.20","510.27","1.24B","2.34%"
"07/01/2024","550.81","545.63","565.16","537.45","1.04B","1.21%"
"06/01/2024","544.22","529.02","550.28","522.60","888.92M","3.20%"
"05/01/2024","527.37","501.38","533.07","499.55","1.15B","5.06%"
"04/01/2024","501.98","523.83","524.38","493.86","1.59B","-4.03%"
"03/01/2024","523.07","508.98","524.61","504.91","1.47B","2.95%"
"02/01/2024","508.08","484.63","510.13","483.80","1.39B","5.22%"
"01/01/2024","482.88","472.16","491.62","466.43","1.70B","1.59%"
"12/01/2023","475.31","455.77","477.55","454.31","1.64B","4.14%"
"11/01/2023","456.40","419.20","458.32","418.65","1.50B","9.13%"
"10/01/2023","418.20","426.62","438.14","409.21","2.00B","-2.17%"
"09/01/2023","427.48","453.17","453.67","422.29","1.59B","-5.08%"
"08/01/2023","450.35","456.27","457.25","433.01","1.76B","-1.63%"
"07/01/2023","457.79","442.92","459.44","437.06","1.37B","3.27%"
"06/01/2023","443.28","418.09","444.30","416.79","1.75B","6.09%"
"05/01/2023","417.85","415.47","422.58","403.74","1.78B","0.46%"
"04/01/2023","415.93","408.85","415.94","403.78","1.40B","1.60%"
"03/01/2023","409.39","395.41","409.70","380.65","2.52B","3.31%"
"02/01/2023","396.26","405.21","418.31","393.64","1.60B","-2.51%"
"01/01/2023","406.48","384.37","408.16","377.83","1.58B","6.29%"
"12/01/2022","382.43","408.77","410.49","374.77","1.74B","-6.19%"
"11/01/2022","407.68","390.14","407.68","368.79","1.75B","5.56%"
"10/01/2022","386.21","361.08","389.52","348.11","2.02B","8.13%"
"09/01/2022","357.18","392.89","411.73","357.04","2.00B","-9.62%"
"08/01/2022","395.18","409.15","431.73","395.04","1.44B","-4.08%"
"07/01/2022","411.99","376.56","413.03","371.04","1.44B","9.21%"
"06/01/2022","377.25","415.17","417.44","362.17","1.96B","-8.64%"
"05/01/2022","412.93","412.07","429.66","380.54","2.42B","0.23%"
"04/01/2022","412.00","453.31","457.83","411.21","1.86B","-8.78%"
"03/01/2022","451.64","435.04","462.07","415.12","2.38B","3.44%"
"02/01/2022","436.63","450.68","458.12","410.64","2.30B","-2.95%"
"01/01/2022","449.91","476.30","479.98","420.76","2.49B","-5.27%"
"12/01/2021","474.96","461.64","479.00","448.92","1.93B","4.26%"
"11/01/2021","455.56","460.30","473.54","455.30","1.34B","-0.80%"
"10/01/2021","459.25","430.98","459.56","426.36","1.51B","7.02%"
"09/01/2021","429.14","452.56","454.05","428.78","1.75B","-4.97%"
